BOOK_ID,BOOK_NAME,AUTHOR,PRICE
FLB_083,STATICS SEMI III,KX JOSEPH,80
FLB_084,THE CONSTITUTION OF INDIA,DR AMBEDKAR,595
FLB_085,INDIA AFTER GANDHI,RAM CHANDRA,799
FLB_086,PARTIAL DIFFERENTIAL EQUATIONS,LEENA LIYA,230
FLB_087,ENGINEERING MECHANICS,J BENJAMIN,275
FLB_088,GRAPH THEORY,SUDHER NADUVAT,220
FLB_089,BUILDING DESIGN & CIVIL ENGINEERING DRAWING,BALA GOPAL,200
FLB_090,MASTER THE NCERT PHYSICS II,ARIHANT,375
FLB_091,INORGANIC CHEMISTRY,KS VARMA,625
FLB_092,PROBLEMS IN PHYSICAL CHEMISTRY,NARENDRA AVASTHI,658
FLB_093,FLUID MECHANICS & HYDRAULIC MACHINES,KF BASEL,729
FLB_094,PHYSICS,SL ARORA,1195
FLB_095,GATE (2022) ELECTRICAL,GATE ACADEMY,1500
FLB_096,FLUID MECHANICS & HYDRAULIC MACHINES,KF BASEL,550
FLB_097,GATE (2025) MECHANICAL,MADEEASY,1000
FLB_098,GATE TUTOR 2025 (MECHANICS),ARIHANTH,1075
FLB_099,KEAM SOLVED PAPERS,ARIHANTH,675
FLB_100,KEAM SOLVED PAPERS,ARIHANT,625
FLB_101,HANDBOOK- CIVIL ENGINEERING,MADE EASY,389
FLB_102,MANUFACTURING PROCESS,,250
FLB_103,PLUS TWO PHYSICS,EXAM MATE,160
FLB_104,MINDSET,CAROL S. DWECK ,263
FLB_105,HANDBOOK - OSTEOLOGY,S. PODDAR,190
FLB_106,SHARIRA KRIYA VIJNAN,SUBHASH RANADE,210
FLB_107,ENGINEERING MECHANICS,J BENJAMIN,275
FLB_108,ENGINEERING PHYSICS,J BENJAMIN,180
FLB_109,ENGINEERING PHYSICS,P RAGHAVAN,160
FLB_110,THERMAL ENGINEERING,AIRWALK PUBLICATIONS,250
FLB_111,PARTIAL DIFFERENTIAL EQUATIONS AND COMPLEX ANALYSIS,DR. RAJESH KUMAR. T. J,200
FLB_112,FUNDAMENTALS OF PHYSICS CLASS-II,VARGHESE ANTONY,154
FLB_113,ADVANCED ENGINEERING PHYSICS,PREMLET B,195
FLB_114,DO EPIC SHIT,ANKUR WARIKOO,399
FLB_115,METALLURGY AND MATERIAL SCIENCE,S RAMACHANDRAN,200
FLB_116,METALLURGY AND MATERIAL SCIENCE,S JOSE,280
FLB_117,MECHANICS OF SOLIDS,SUDHI MARY KURIAN,270
FLB_118,FLUID MACHINERY,S RAMACHANDRAN,200
FLB_119,MECHANICAL MEASUREMENTS INSTRUMENTATION-11,R.K. RAJPUTR.K. RAJPUT,500
FLB_120,ADVANCED ENGINEERING PHYSICS,DR. PREMLET,225
FLB_121,GATE 2024 MECHANICAL,GKP,1295
FLB_122,STRENGTH OF MATERIALS,R.K. BANSAL,675
FLB_123,ENGINEERING PHYSICS A (CIRCUIT),OWL BOOKS,300
FLB_124,MATHEMATICS FOR COMPUTER AND INFORMATION SCIENCE - 2,"TONY K B, SHIKHI M",300
FLB_125,MASTER THE NCERT PHYSICS - I,ARIHANT,375
FLB_126,NCERT CHAMPION PHYSICS,MTG,850
FLB_127,PHYSICS SIMPLIFIED (VOL 1),S.L. ARORA,1460
FLB_128,PRINCIPLES OF PHYSICS,WILEY & SONS,6097
FLB_129,ESSENTIALS OF MEDICAL PHSYCOLOGY,JAYASHREE,1865
FLB_130,HUMAN ANATOMY - I,CBS,444
FLB_131,HUMAN ANATOMY - II,CBS,444
FLB_132,HUMAN ANATOMY - III,CBS,444
FLB_133,KERALA PC7,M7G,250
FLB_134,GATE 2022 (ELECTRICAL),GATE ACADEMY,1500
FLB_135,THERMAL ENGINEERING,RK RAJPUT,875
FLB_136,MATHEMATICS FOR ELECTRICAL PHYCICAL 2,OWL  BOOKS,200
FLB_137,ADVANCED ACCOUNTING,,1060
FLB_138,FUNDAMENTAL OF BUISNESS MATHEMATICS,TARTAHUN,795
FLB_139,TAXALION - M2,,850
FLB_140,STRATEGIC MANAGMENT,,225
FLB_141,FINANCIAL MANAGMENT M2,,575
FLB_142,COST MANAGMENT ACCOUNTING,,705
FLB_143,FINANCIAL MANAGMENT M2,,575
FLB_144,TAXALION - M1,,825
FLB_145,AUDITING ETHICS M1,,645
FLB_146,AUDITING ETHICS M2,,645
FLB_147,CA INTER (COSTING),TRIPPLE 1,
FLB_148,CA INTER ADVANCED ACCOUNTING,,
FLB_149,THE SCIENCE OF MOVEMENT,RALPH HANCOAK,
FLB_150,LOOK IT UP (INBOX),,
FLB_151,LOOK IT UP (FLYING),,
FLB_152,THE SCEINCE OF THE EARTH,JOHN WILLIAMSON,
FLB_153,THE SCIENCE OF STRUCTURE MATERIAL,RATIN,
FLB_154,LOOK IT UP (WHAT PEPOLE DO),,
FLB_155,LOOK IT UP  (SHIP&BOAT),,
FLB_156,THE SCIENCE OF THE SENCE,,
FLB_157,LOOK IT UP SPORT ENTERTAINMENT),,
FLB_158,LOOK IT UP (THE WORLD OF MACHINES),,
FLB_159,LOOK IT UP (OUTER SPACE),,
FLB_160,TOP VISIONARIES WHO CHANGED THE WORLD,,400
FLB_161,SIGNALS & SYSTEM,SIMON HAYKINE,
FLB_162,BASIC ELECTRONICS & LINEAR CIRCUITS,,
FLB_163,MACHINE TOOL & METROLOGY,,250
FLB_164,BASIC APPLIED & SOIL MECHANICS,,699
FLB_165,ADVANCED ENGINEERING MATHEMATICS,,850
FLB_166,DESIGNING DATA INTENSIVE APPLICATION,,4046
FLB_167,REFACTORING,KENT BECK,
FLB_168,SIGNALS AND SYSTEM,A.ANANDH KUMAR,1095
FLB_169,CLEAN CODE,ROBERT C MARTIN,950
FLB_170,THE RUST PROGRAMMING LANGUAGE,,4250
FLB_171,CALCULAS OF VECTOR FUNCTIONS,OWL BOOKS,
FLB_172,PROBABLITY RANDOM PROCESS & NUMERICAL METHOD,,300
FLB_173,INDUSTRIAL ENGINEERING & PRODUCTION MANAGMENT,,950
FLB_174,PRINCIPLE OF POWER SYSTEM,VK MEHTA,625
FLB_175,ELECTRICAL MACHINERY,DR PS  BIMPRA,785
FLB_176,THE 5AM CLUB,PAVLO COEHLO,350
FLB_177,THE BOOK OF CLARITY,PARAS CHOPRA,499
FLB_178,THE CEO MIND SET,SHIV SHIVAKUMAR,599
FLB_179,START WITH WHY,SIMON SINEK,599
FLB_180,48-HOUR STARTUP,FRASHER,
FLB_181,DO EPIC SHIT,ANKUR,399
FLB_182,DIFFERENTIAL EQUATIONS,SHAFEEQ KALATHIL,4600
FLB_183,A TEXT BOOK OF RAILWAY ENGINEERING,SP ARORA,335
FLB_184,BECOMING,MICHALE OBAMA,
FLB_185,HIPPIE,PAULO COEHLO,
FLB_186,THE SECRET OF THE NAGAS,AMISH,225
FLB_187,"OWN YOUR MORNING ,ELEVATE YOUR LIFE",ROBIN SHARMA,350
FLB_188,400 DAYS,CHETAN BHAGAT,
FLB_189,ONE ARRANGED MARRIAGE MURDER,CHETAN BHAGAT,
FLB_190,BASIC CIVIL ENGINEERING,SHIBU NALPAT,150
FLB_191,OXFORD ADVANCED LEARNERS DICTIONARY,AS HORBY,
FLB_192,HIGHWAY ENGINEERING,SK KHANNA,250
FLB_193,COMPUTER ARCHITECTURE AND ORGANAIZATION,JOHN P HAVES,395
FLB_194,KNOWLEDGE ADVENTURE,SUNIL KRISHNAN,
FLB_195,ELECTRONIC LAB MANUAL,KA NAVAS,
FLB_196,THE IMMORTALS OF MELUHA,AMISH,
FLB_197,HARBOUR DOCK AND TUNNEL ENGINEERING,R.SRINIVASAN,125
FLB_198,BASIC CIVIL ENGINEERING,SANTHA MINU,
FLB_199,STRENGTH OF MATERIALS,DR.R K BASAL,
FLB_200,THE SECRETS WE KEEP,SUDEEP NAGARKAR,175
FLB_201,DIGITAL SIGNAL PROCESSING,P. RAMESH BABU,370
FLB_202,MICROPROCESSORS AND INTERFACING,,
FLB_203,EAT THAT FROG,BRIAN TRACY,300
FLB_204,STRUCTURAL ANALYSIS,R.C. HIBBELER,1025
FLB_205,ENGINEERING MATHEMATICS,"J.SURESH A, G. ROYSON",120
FLB_206,BASILS OF CIVIL ENGINEERING,KK AMMAD,150
FLB_207,SOIL MECHANICS AND FOUNDATION ENGINEERING,DR K.R ARORA,400
FLB_208,IRRIGATION AND WATER POWER ENGINEERING, DR. BC PUNMIA,695
FLB_209,CONTROL SYSTEMS ENGINEERING,IJ NAGRATH.M GOPAL,799
FLB_210,LINEAR INTEGRATED CIRCUITS,"D ROY CHOUDHURY, SHAIL BALA",550
